,album_name,artist_name,source_countries
2341,Nine Types of Light,TV on the Radio,"Australia, Canada, Europe, Russia, US"
2342,No Angel,Dido,"Australia, New Zealand, Brazil, Bulgaria, Colombia, India, Indonesia, Israel, Italy, Mexico, Middle East, Peru, Philippines, US, Yugoslavia"
2343,No Cities to Love,Sleater-Kinney,"Europe, Hong Kong, Japan, US, US, Canada"
2344,No Code,Pearl Jam,"Australia, Brazil, Bulgaria, Canada, Colombia, Denmark, Europe, Germany, Indonesia, Japan, Malaysia, Mexico, Netherlands, Philippines, Poland, Russia, South Africa, South Korea, Taiwan, Thailand, Turkey, US"
2345,No Control,Bad Religion,"Germany, US"
2346,No Flashlight: Songs of the Fulfilled Night,Mount Eerie,"Australia, Japan, US"
2347,No Heroes,Converge,"Australia, Europe, Japan, US"
2348,No Line on the Horizon,U2,"Argentina, Australasia, Brazil, Canada, China, Colombia, Czech Republic, Slovakia, Europe, Germany, Hungary, India, Indonesia, Japan, Malaysia, Mexico, Netherlands, New Zealand, Philippines, Poland, Romania, Russia, Singapore, South Africa, Taiwan, Thailand, UK, UK, Europe, UK, Europe, US, US, Ukraine, Worldwide"
2349,No Love Deep Web,Death Grips,US
2350,No More Color,Coroner,"Germany, US"
2351,No More Stories / Are Told Today / I'm Sorry / They Washed Away // No More Stories / The World Is Grey / I'm Tired / Let's Wash Away,Mew,"Australia, Denmark, Europe, Indonesia, Japan, Mexico, Poland, Russia, South Korea, Taiwan, Thailand, UK, US"
2352,No More Tears,Ozzy Osbourne,"Australia, Austria, Brazil, Canada, Chile, Colombia, Cyprus, Europe, France, Germany, Greece, Hungary, Japan, Mexico, Norway, Poland, South Africa, South Korea, Spain, Thailand, Turkey, UK, UK, Europe, US, Zimbabwe"
2353,No Need to Argue,The Cranberries,"Argentina, Australasia, Australia, Bolivia, Brazil, Bulgaria, Canada, Chile, China, Europe, France, Germany, Hungary, Israel, Japan, Malaysia, Mexico, Netherlands, Peru, Philippines, Poland, Russia, Saudi Arabia, South Africa, South Korea, Spain, Taiwan, Thailand, Turkey, UK, UK, Europe, US, Venezuela"
2354,No Now,Clarence Clarity,"Europe, UK, Europe"
2355,No One Ever Really Dies,N*E*R*D,"Australia, Brazil, Europe, Japan, US"
2356,No Other,Gene Clark,"Australia, Germany, New Zealand, UK, US"
2357,No Prayer for the Dying,Iron Maiden,"Argentina, Australasia, Bolivia, Brazil, Bulgaria, Canada, Chile, Colombia, Czechoslovakia, Ecuador, Egypt, Europe, Greece, Guatemala, Hungary, Indonesia, Italy, Japan, Mexico, Netherlands, Poland, Portugal, Saudi Arabia, South Africa, South Korea, Spain, Taiwan, Thailand, Turkey, UK, UK, Europe, US, Uruguay, Venezuela, Yugoslavia, Zimbabwe"
2358,No Shape,Perfume Genius,"Europe, UK, US, Worldwide"
2359,Noctourniquet,The Mars Volta,"Argentina, Australia, Canada, Europe, Japan, Mexico, Russia, US"
2360,Nocturne,Wild Nothing,"Australia, Europe, Japan, UK, Europe, US"
2361,Non-Stop Erotic Cabaret,Soft Cell,"Australasia, Australia, Austria, Canada, Europe, France, Germany, Greece, Indonesia, Ireland, Israel, Italy, Japan, Netherlands, New Zealand, Philippines, Portugal, Saudi Arabia, Scandinavia, Singapore, Malaysia, Hong Kong, South Africa, Spain, Sweden, UK, US"
2362,Nonagon Infinity,King Gizzard and The Lizard Wizard,"Australia, Australia, New Zealand, Europe, UK, US"
2363,None Shall Pass,Aesop Rock,"UK, US"
2364,None So Vile,Cryptopsy,Sweden
2365,None of This Is Real,DJ Rozwell,US
2366,Norman Fucking Rockwell!,Lana Del Rey,"Europe, Japan, South Korea, UK, US, US, Europe"
2367,Nostalgic 64,Denzel Curry,US
2368,Nostradamus,Judas Priest,"Argentina, Australia, Brazil, Canada, Colombia, Europe, Japan, Mexico, Russia, South Korea, US"
2369,Not All Heroes Wear Capes,Metro Boomin,"Europe, US, Worldwide"
2370,Not Available,The Residents,US
2371,Notes on a Conditional Form,The 1975,"Australia, Europe, UK, UK, Europe, US, US, US, Europe"
2372,Nothing,Meshuggah,"Brazil, Bulgaria, Germany, Japan, Russia, South Korea, Sweden, US, Ukraine"
2373,Nothing Feels Good,The Promise Ring,US
2374,Nothing Great About Britain,slowthai,"Europe, US"
2375,Nothing Was the Same,Drake,"Australasia, Australia, Canada, China, Europe, France, India, Japan, UK, US, Worldwide"
2376,Nothing's Shocking,Jane's Addiction,"Canada, Europe, Germany, Japan, US"
2377,Nothingface,Voivod,"Australia, Canada, Germany, Japan, Poland, UK, US, US, Canada, Europe"
2378,Notre-Dame-des-Sept-Douleurs,Klô Pelgag,"Canada, UK"
2379,Nouns,No Age,"Europe, US"
2380,Now Only,Mount Eerie,"Japan, US"
2381,Nowa Aleksandria,Siekiera,Poland
2382,Nowhere,Ride,"Canada, Europe, Japan, UK, US"
2383,Nursery Cryme,Genesis,"Germany, UK"
2384,Nurture,Porter Robinson,"Japan, US, US, Canada, Europe"
2385,O,Damien Rice,"Brazil, Europe, Ireland, UK, UK, Ireland"
2386,OH NO,Xiu Xiu,"Czech Republic, US"
2387,OK Computer,Radiohead,"Argentina, Australasia, Australia, Brazil, Bulgaria, Canada, Chile, China, Colombia, Europe, India, Indonesia, Israel, Japan, Lebanon, Malaysia, Mexico, Netherlands, Philippines, Poland, Russia, South Africa, South Korea, Taiwan, Thailand, Turkey, UK, UK, Europe, US, Ukraine, United Arab Emirates, Worldwide"
2388,OK Human,Weezer,"Australia, Brazil, Canada, Europe, Japan, UK, Europe, US, US, Worldwide"
2389,OM,Negură Bunget,Italy
2390,Oar,Alexander Spence,"Canada, Netherlands, US"
2391,Obey,Brainbombs,Sweden
2392,Oblivion Access,Lil Ugly Mane,US
2393,Obscura,Gorguts,US
2394,Obscured by Clouds,Pink Floyd,"Australia, Brazil, Canada, Denmark, France, Germany, Greece, Guatemala, India, Israel, Italy, Netherlands, New Zealand, Philippines, Portugal, Singapore, South Africa, Spain, Sweden, Taiwan, Turkey, UK, US"
2395,Obsidian,Baths,"Japan, US"
2396,Obsolete,Fear Factory,"Australia, Brazil, Bulgaria, Canada, Czech Republic, Europe, Germany, Indonesia, Japan, Malaysia, Mexico, Poland, Russia, South Korea, Thailand, Turkey, US, US, Canada, Ukraine"
2397,Ocean Beach,Red House Painters,"Benelux, Canada, France, Germany, Japan, Taiwan, UK, US"
2398,Ocean Rain,Echo & The Bunnymen,"Australia, Brazil, Canada, Europe, France, Germany, Greece, Ireland, Italy, Japan, Netherlands, New Zealand, Philippines, Portugal, Scandinavia, Spain, UK, UK, Europe, US"
2399,Ocean Songs,Dirty Three,"Australia, France, UK, US"
2400,Oceanborn,Nightwish,"Argentina, Finland, Mexico, Thailand"
2401,Oceania,The Smashing Pumpkins,"Argentina, Australia, New Zealand, Brazil, Canada, China, Colombia, Europe, Japan, Mexico, Philippines, Russia, Taiwan, Thailand, US"
2402,Octahedron,The Mars Volta,"Argentina, Australasia, Canada, Europe, Japan, Malaysia, Mexico, Poland, Russia, UK, US"
2403,Octavarium,Dream Theater,"Argentina, Australia, Brazil, Canada, Chile, Colombia, Europe, India, Indonesia, Japan, Malaysia, Mexico, Russia, Thailand, US, United Arab Emirates, Venezuela"
2404,October,U2,"Australia, Canada, France, Germany, Greece, Ireland, Israel, Italy, Netherlands, New Zealand, Philippines, Portugal, Scandinavia, Singapore, Malaysia, Hong Kong, Spain, Taiwan, Thailand, UK, US"
2405,October Rust,Type O Negative,"Argentina, Australia, Brazil, Bulgaria, Canada, Czech Republic, Europe, Germany, Israel, Japan, Netherlands, Poland, Russia, Serbia and Montenegro, South Africa, South Korea, Thailand, Turkey, US, US, Canada"
2406,Octopus,Gentle Giant,"Australia, Germany, Italy, UK"
2407,Odd Blood,Yeasayer,"Australia, Europe, Japan, Taiwan, UK, US"
2408,Odelay,Beck,"Argentina, Australia, Brazil, Bulgaria, Canada, Chile, Europe, Indonesia, Japan, Malaysia, Mexico, Poland, Russia, South Africa, South Korea, Thailand, Turkey, UK, US"
2409,Odessey and Oracle,The Zombies,"Australia, Canada, Philippines, Singapore, South Africa, UK, US"
2410,Odyshape,The Raincoats,"France, Germany, Italy, Japan, Portugal, UK, US"
2411,Of Ruine or Some Blazing Starre,Current 93,UK
2412,Off the Wall,Michael Jackson,"Australia, Bolivia, Brazil, Canada, Colombia, Costa Rica, Europe, Germany, Greece, Hong Kong, India, Indonesia, Ireland, Israel, Italy, Japan, Kenya, Malaysia, Mexico, New Zealand, Nigeria, Peru, Philippines, Portugal, Rhodesia, Singapore, Singapore, Malaysia, South Africa, Spain, Taiwan, UK, US, Zambia"
2413,Ogdens' Nut Gone Flake,Small Faces,"Australia, Canada, Denmark, France, Germany, Israel, Italy, Netherlands, New Zealand, Singapore, Malaysia, Hong Kong, South Africa, UK, US"
2414,Oh Mercy,Bob Dylan,"Argentina, Australia, Brazil, Canada, Europe, Greece, Hong Kong, Hungary, Indonesia, Ireland, Israel, Japan, Poland, Singapore, South Africa, Spain, Turkey, UK, UK, Europe, UK, France, US, Uruguay, Yugoslavia, Zimbabwe"
2415,Oh Yeah,Charles Mingus,"Canada, France, UK, US"
2416,"Oh, Inverted World",The Shins,"Australia, Spain, US"
2417,Ohms,Deftones,"Europe, Japan, UK, Ireland, US, US, Canada, US, Europe"
2418,Olé Coltrane,John Coltrane,"Australia, Italy, US"
2419,Ominous Doctrines of the Perpetual Mystical Macrocosm,Inquisition,"Argentina, Germany"
2420,Ommadawn,Mike Oldfield,"Argentina, Australia, Austria, Canada, France, Germany, Greece, Ireland, Israel, Italy, Japan, Netherlands, New Zealand, Portugal, Rhodesia, South Africa, Spain, UK, US, Yugoslavia"
2421,On Avery Island,Neutral Milk Hotel,"UK, US"
2422,On Every Street,Dire Straits,"Argentina, Australasia, Australia, Brazil, Bulgaria, Canada, Colombia, Czechoslovakia, Ecuador, Europe, Finland, France, Germany, Greece, Guatemala, Hungary, India, Indonesia, Israel, Italy, Japan, Malaysia, Mexico, Netherlands, Netherlands Antilles, Peru, Poland, Portugal, South Africa, South Korea, Spain, Sweden, Thailand, Turkey, UK, UK, Europe, US, USSR, Uruguay, Venezuela, Yugoslavia, Zimbabwe"
2423,On Fire,Galaxie 500,"Spain, UK, US"
2424,On an Island,David Gilmour,"Argentina, Australia, Canada, China, Europe, Hong Kong, India, Japan, Mexico, Russia, South Africa, UK, UK, Europe, US, Ukraine"
2425,On the Beach,Neil Young,"Australia, Canada, France, Germany, Greece, Israel, Italy, Japan, Netherlands, New Zealand, Philippines, Portugal, South Africa, South Korea, Spain, Turkey, UK, UK, Ireland, US, Venezuela"
2426,On the Corner,Miles Davis,"Australia, Canada, Europe, Japan, Malaysia, South Africa, UK, US"
2427,Once,Nightwish,"Argentina, Australia, Belarus, Brazil, Bulgaria, Canada, China, Europe, Finland, Germany, Indonesia, Israel, Japan, Malaysia, Mexico, Romania, Russia, Serbia and Montenegro, Switzerland, Taiwan, Thailand, US, Ukraine"
2428,Once More 'Round the Sun,Mastodon,"Argentina, Australia, Brazil, Canada, Europe, India, Japan, Malaysia, Russia, US"
2429,Once Twice Melody,Beach House,"Europe, Japan, US, US, Canada"
2430,Oncle Jazz,Men I Trust,"Canada, Japan"
2431,One Beat,Sleater-Kinney,"Australia, Canada, Japan, US, US, Canada"
2432,One Foot in the Grave,Beck,"Australia, Russia, UK, US"
2433,One More Light,Linkin Park,"Argentina, Australia, Brazil, Canada, Europe, Japan, Russia, South Africa, Thailand, US, US, Canada"
2434,One Nation Under a Groove,Funkadelic,"Canada, Germany, Japan, New Zealand, Panama, Turkey, UK, US, Venezuela"
2435,One Step Beyond...,Madness,"Australia, Belgium, Canada, Finland, France, Germany, Hong Kong, Ireland, Israel, Netherlands, Portugal, Scandinavia, South Africa, UK, US"
2436,One Time for All Time,65daysofstatic,UK
2437,One Word Extinguisher,Prefuse 73,"Japan, UK"
2438,One by One,Foo Fighters,"Argentina, Australia, Australia, New Zealand, Brazil, Bulgaria, Canada, Chile, China, Denmark, Europe, France, Germany, Gulf Cooperation Council, Hungary, Indonesia, Japan, Malaysia, Mexico, Norway, Philippines, Poland, Russia, Saudi Arabia, South Africa, South Korea, Taiwan, Thailand, Turkey, UK, UK, Europe, UK, Ireland, US, Ukraine, Venezuela"
2439,One of Us Is the Killer,The Dillinger Escape Plan,"Argentina, Australia, Australia, New Zealand, Canada, Europe, Germany, Japan, US, US, Canada"
2440,One of the Boys,Katy Perry,"Argentina, Australia, Canada, Chile, China, Colombia, Europe, Germany, India, Indonesia, Malaysia, Mexico, New Zealand, Philippines, Russia, Singapore, South Africa, South East Asia, Taiwan, Thailand, UK, US, Ukraine"
2441,One-X,Three Days Grace,"Australia, Canada, Europe, Japan, Russia, US"
2442,Oneirology,CunninLynguists,"Europe, UK, Europe, US, US"
2443,Only Built 4 Cuban Linx...,Raekwon,"Canada, Europe, Japan, Russia, UK, US"
2444,Only Built 4 Cuban Linx... Pt II,Raekwon,"Australia, Europe, US"
2445,Only Theatre of Pain,Christian Death,US
2446,Only a Lad,Oingo Boingo,US
2447,Only by the Night,Kings of Leon,"Argentina, Australia, Brazil, Canada, Colombia, Europe, Finland, France, Hong Kong, Indonesia, Japan, Malaysia, New Zealand, Philippines, Russia, South Africa, UK, US"
2448,Onward to Golgotha,Incantation,"Europe, Germany, Malaysia, Poland, US, US, Europe"
2449,Oops!...I Did It Again,Britney Spears,"Algeria, Argentina, Asia, Australia, Australia, New Zealand, Brazil, Bulgaria, Burma, Canada, Chile, China, Colombia, Europe, France, Germany, Hong Kong, Hungary, India, Indonesia, Israel, Japan, Kuwait, Malaysia, Mexico, New Zealand, Philippines, Poland, Russia, Saudi Arabia, Singapore, Singapore, Malaysia, South Africa, South Korea, Spain, Switzerland, Taiwan, Thailand, Turkey, UK, UK, Europe, US, Ukraine, Venezuela"
2450,Operation: Doomsday,MF DOOM,US
2451,Operation: Mindcrime,Queensrÿche,"Australasia, Brazil, Canada, Europe, Germany, Greece, Indonesia, Italy, Japan, Malaysia, Mexico, Portugal, Spain, UK, US, Venezuela"
2452,Oracular Spectacular,MGMT,"Australia, France, UK, US"
2453,Orange,Fishmans,Japan
2454,Oranges & Lemons,XTC,"Australia, Brazil, Canada, Europe, Germany, Italy, Japan, Malaysia, Mexico, UK, UK, Europe, US"
2455,Orchid,Opeth,"Europe, Poland"
2456,Ordinary Corrupt Human Love,Deafheaven,"Europe, Indonesia, UK, US, US, Canada"
2457,Orgasmatron,Motörhead,"Australia, Australia, New Zealand, Canada, Europe, Finland, France, Italy, Japan, Netherlands, UK, US"
2458,Origin of Symmetry,Muse,"Argentina, Asia, Australia, New Zealand, Benelux, Canada, Europe, France, Germany, Greece, Indonesia, Israel, Japan, Malaysia, Russia, South Africa, South Korea, Thailand, Turkey, UK, Ukraine"
2459,Original Motion Picture Score for The Virgin Suicides,AIR,"Canada, Europe, US"
2460,Original Pirate Material,The Streets,"Australia, Canada, Europe, Japan, UK, UK, Europe, US"
2461,Origins,Imagine Dragons,"Australia, Brazil, Canada, Europe, Mexico, Poland, Russia, US, Ukraine"
2462,"Orphans: Brawlers, Bawlers & Bastards",Tom Waits,"Australia, Europe, Japan, Russia, US"
2463,Orpheus vs. the Sirens,Hermit and the Recluse,US
2464,Os Mutantes,Os Mutantes,"Argentina, Brazil, Chile, Uruguay"
2465,Oshin,DIIV,"Australia, US"
2466,Otis Blue: Otis Redding Sings Soul,Otis Redding,"Canada, Germany, UK, US"
2467,Our Love,Caribou,"Australia, New Zealand, Europe, Japan, Mexico, UK, UK, Europe, US"
2468,Our Love to Admire,Interpol,"Argentina, Australia, Brazil, Canada, Europe, Indonesia, Japan, Mexico, Philippines, Russia, South Africa, UK, US, Worldwide"
2469,Our Mother the Mountain,Townes Van Zandt,"Canada, UK, US"
2470,Out There,Eric Dolphy,"UK, US"
2471,Out of Exile,Audioslave,"Argentina, Asia, Australasia, Brazil, Canada, Chile, Colombia, Europe, Germany, India, Indonesia, Israel, Japan, Malaysia, Mexico, New Zealand, Russia, Singapore, South Africa, Thailand, UK, Ireland, US, Ukraine"
2472,Out of Myself,Riverside,Poland
2473,Out of Our Heads,The Rolling Stones,"Australia, Canada, Colombia, Europe, France, Germany, Greece, Israel, Italy, Mexico, Netherlands, New Zealand, Peru, Philippines, Scandinavia, South Africa, Southern Rhodesia, Spain, Turkey, UK, US, Venezuela"
2474,Out of Time,R.E.M.,"Argentina, Australasia, Australia, Bolivia, Brazil, Bulgaria, Canada, Chile, Croatia, Czechoslovakia, Ecuador, Europe, Guatemala, Hungary, Indonesia, Israel, Japan, Malaysia, Mexico, Netherlands, New Zealand, Paraguay, Peru, Philippines, Poland, Romania, Saudi Arabia, South Africa, South Korea, Taiwan, Turkey, US, Uruguay, Venezuela, Yugoslavia, Zimbabwe"
2475,Out of the Blue,Electric Light Orchestra,"Argentina, Australia, Belgium, Brazil, Canada, Colombia, Costa Rica, Europe, France, Germany, Greece, Guatemala, Hong Kong, Ireland, Israel, Italy, Japan, Netherlands, New Zealand, North America (inc Mexico), Portugal, Scandinavia, Singapore, South Africa, Taiwan, UK, US, Venezuela"
2476,Out to Lunch,Eric Dolphy,US
2477,Outer Isolation,Vektor,US
2478,Outer Peace,Toro y Moi,"UK, US, US, Canada"
2479,Outlandos d'Amour,The Police,"Argentina, Australia, Brazil, Canada, Colombia, Europe, Greece, India, Ireland, Japan, Netherlands, New Zealand, Peru, South Africa, South Korea, Spain, Thailand, UK, US"
2480,Over the Edge,Wipers,US
2481,Over-Nite Sensation,The Mothers,"Australia, Austria, Canada, France, Germany, Greece, Italy, Japan, New Zealand, Scandinavia, UK, US, Uruguay"
2482,Overgrown,James Blake,"Australia, Canada, Colombia, Indonesia, Japan, Poland, South East Asia, UK, UK, Europe, US"
2483,Overkill,Motörhead,"Australia, Canada, France, Germany, Ireland, Italy, Netherlands, Spain, UK"
2484,Overpowered,Róisín Murphy,"Australia, Brazil, Bulgaria, Denmark, Europe, Indonesia, Malaysia, Philippines, South Africa, UK, UK, Europe, US, Ukraine"
2485,Oversteps,Autechre,"Japan, UK"
2486,Oxnard,Anderson .Paak,US
2487,Oxygène,Jean Michel Jarre,"France, Italy"
2488,Oxymoron,ScHoolboy Q,"Australasia, Europe, US"
2489,POST-,Jeff Rosenstock,"Japan, UK, US"
2490,PROTO,Holly Herndon,"UK, UK, US, US"
2491,Pablo Honey,Radiohead,"Australia, Brazil, Canada, Chile, China, Europe, Greece, India, Indonesia, Israel, Italy, Japan, Malaysia, Mexico, Philippines, Poland, Russia, Saudi Arabia, South Africa, South Korea, Spain, Taiwan, Thailand, Turkey, UK, US, United Arab Emirates, Venezuela"
2492,Pacific Daydream,Weezer,"Canada, Europe, Japan, Russia, US, US, Europe"
2493,Paegan Terrorism Tactics,Acid Bath,US
2494,Paid In Full,Eric B. & Rakim,"Australia, Australia, New Zealand, Canada, Europe, Germany, Greece, Hungary, UK, US"
2495,Pain Is Beauty,Chelsea Wolfe,"Japan, UK, Europe, UK, US, US"
2496,Painful,Yo La Tengo,"Europe, Germany, US"
2497,Painkiller,Judas Priest,"Australia, Brazil, Canada, Czechoslovakia, Europe, Germany, Greece, India, Japan, Mexico, Netherlands, Poland, Singapore, South Africa, South Korea, Spain, Turkey, UK, US, Zimbabwe"
2498,Painted Ruins,Grizzly Bear,"Europe, UK, Europe, US, US, US, Canada"
2499,Painted Shut,Hop Along,US
2500,Painting With,Animal Collective,"Europe, Japan, Poland, UK, UK, Europe, US, US"
2501,Pale Communion,Opeth,"Argentina, Australia, Brazil, Canada, Europe, India, Indonesia, Japan, Mexico, Russia, UK, Europe, UK, Europe, US, US"
2502,Pale Folklore,Agalloch,US
2503,Panda Bear Meets the Grim Reaper,Panda Bear,Australia
2504,Pang,Caroline Polachek,US
2505,Panorama,La Dispute,"Europe, Netherlands, US"
2506,Panzerfaust,Darkthrone,"Norway, Poland"
2507,Parachutes,Coldplay,"Argentina, Australia, Brazil, Canada, Chile, Colombia, Europe, France, Indonesia, Japan, Malaysia, Mexico, Philippines, Poland, Russia, South Africa, South Korea, Thailand, UK, UK, Europe, US, Ukraine"
2508,Paracletus,Deathspell Omega,France
2509,"Parade: Music From the Motion Picture ""Under the Cherry Moon""",Prince and The Revolution,"Canada, Europe, Greece, Turkey, US"
2510,Paraffin,Armand Hammer,"Germany, US"
2511,Parallel Lines,Blondie,"Asia, Australia, Austria, Canada, Europe, France, France, Benelux, Germany, Greece, Hong Kong, India, Ireland, Israel, Italy, Japan, Netherlands, New Zealand, Norway, Philippines, Portugal, Rhodesia, Scandinavia, Singapore, South Africa, Sweden, UK, UK, Ireland, US"
2512,Parallelograms,Linda Perhacs,US
2513,Paramore,Paramore,"Argentina, Australasia, Canada, Europe, Indonesia, Japan, Mexico, Philippines, Russia, Taiwan, UK, Europe, US, US, Europe, Venezuela"
2514,Paranoid,Black Sabbath,"Australia, Colombia, Europe, France, Germany, Greece, Israel, Italy, Japan, Netherlands, New Zealand, Philippines, Portugal, Scandinavia, South Africa, Switzerland, Turkey, UK, US, Venezuela"
2515,Paris 1919,John Cale,"France, UK, US"
2516,Parklife,Blur,"Australia, Brazil, Canada, Chile, China, Europe, Greece, India, Indonesia, Italy, Japan, Malaysia, Mexico, Netherlands, Philippines, Poland, South Africa, South Korea, Taiwan, Thailand, Turkey, UK, US, United Arab Emirates"
2517,Part the Second,maudlin of the Well,US
2518,Passion (Music for The Last Temptation of Christ),Peter Gabriel,"Canada, UK, US, Venezuela"
2519,"Passion, Pain & Demon Slayin'",Kid Cudi,"Canada, Europe, US"
2520,Pastel Blues,Nina Simone,"Canada, Italy, Netherlands, UK, US"
2521,Pat Garrett & Billy the Kid,Bob Dylan,"Canada, Europe, Greece, Israel, Italy, Spain, UK"
2522,Paul Simon,Paul Simon,"Israel, Netherlands, New Zealand"
2523,Paul's Boutique,Beastie Boys,"Australia, Brazil, Canada, Chile, Europe, France, Greece, Italy, Japan, Mexico, Philippines, Spain, UK, UK, Europe, US, United Arab Emirates, Yugoslavia"
2524,Pause,Four Tet,"Europe, UK, US"
2525,Pawn Hearts,Van der Graaf Generator,"Germany, UK, US"
2526,Paysage d'Hiver,Paysage d'Hiver,Switzerland
2527,Peace Sells... But Who's Buying?,Megadeth,"Australia, Brazil, Canada, Chile, Colombia, Europe, Germany, Indonesia, Italy, Japan, Mexico, Netherlands, New Zealand, Peru, Spain, UK, US"
2528,Pearl,Janis Joplin,South Korea
2529,Pearl Jam,Pearl Jam,"Canada, Germany"
2530,Peasant,Richard Dawson,"Europe, UK, Europe"
2531,Pendulum,Creedence Clearwater Revival,"Australia, Belgium, Canada, Colombia, Denmark, France, Greece, Guatemala, India, Iran, Israel, Italy, Mexico, New Zealand, Philippines, Scandinavia, Singapore, Singapore, Malaysia, South Africa, South Korea, Spain, Sweden, Taiwan, UK, US, Venezuela"
2532,Peng!,Stereolab,"France, UK"
2533,Penis Envy,Crass,"UK, US"
2534,Pentagram,Gorgoroth,"Europe, US"
2535,Pentagram,Pentagram,US
2536,People Who Can Eat People Are the Luckiest People in the World,Andrew Jackson Jihad,US
2537,People's Instinctive Travels and the Paths of Rhythm,A Tribe Called Quest,"Brazil, Canada, Germany, Italy, Japan, Netherlands, UK, UK, Europe, US"
2538,Per un amico,Premiata Forneria Marconi,Italy
2539,Perdition City,Ulver,"Norway, Poland"
2540,Perfect From Now On,Built to Spill,"UK, US"
2541,Perfect Strangers,Deep Purple,"Australasia, Australia, Brazil, Canada, Ecuador, Europe, Finland, France, Germany, Greece, Guatemala, Hong Kong, Ireland, Israel, Italy, Japan, Malaysia, Mexico, Netherlands, New Zealand, Peru, Philippines, Poland, Portugal, South Africa, South Korea, Spain, Taiwan, UK, US"
2542,Peripheral Vision,Turnover,"UK, Europe, US"
2543,Permanent Vacation,Aerosmith,"Australasia, Australia, Bolivia, Brazil, Canada, Europe, Germany, Greece, Indonesia, Israel, Japan, Malaysia, Mexico, South Korea, Spain, UK, UK, Europe, US"
2544,Permanent Waves,Rush,"Australia, Brazil, Canada, Colombia, France, Germany, Greece, Israel, Italy, Japan, Malaysia, Mexico, Netherlands, New Zealand, Philippines, Scandinavia, Singapore, Malaysia, Hong Kong, Spain, UK, US"
2545,Permission to Land,The Darkness,"Argentina, Australia, Brazil, Bulgaria, Canada, Chile, Europe, France, Germany, Hong Kong, Indonesia, Japan, Malaysia, Mexico, Poland, Russia, Singapore, South Africa, Thailand, Turkey, UK, US"
2546,Permutation,Amon Tobin,"Brazil, Canada, Europe, Japan, Poland, Russia, UK, UK, Europe"
2547,Persecution Mania,Sodom,"Europe, Germany, Indonesia, Poland, US, Yugoslavia"
2548,Persistence of Time,Anthrax,"Australia, Brazil, Bulgaria, Canada, Chile, Europe, France, Germany, Guatemala, Indonesia, Italy, Japan, Mexico, Poland, South Korea, Spain, Turkey, UK, UK, Europe, US, United Arab Emirates"
2549,Person Pitch,Panda Bear,"Australia, Japan, US"
2550,Perverted by Language,The Fall,"Australia, France, Germany, Greece, Italy, Netherlands, New Zealand, UK"
2551,Pet Grief,The Radio Dept.,"Australia, Japan, South Korea, Sweden, UK"
2552,Pet Sounds,The Beach Boys,"Australia, Canada, Denmark, France, Germany, India, Israel, Italy, Japan, Netherlands, New Zealand, Peru, South Africa, Taiwan, UK, US, Uruguay, Venezuela"
2553,Petals for Armor,Hayley Williams,"Australia, Brazil, Europe, Japan, UK, Europe, US, US"
2554,Peter Gabriel,Peter Gabriel,"Argentina, Australia, Brazil, Canada, France, Germany, Greece, Ireland, Israel, Italy, Japan, Mexico, Netherlands, New Zealand, Portugal, Scandinavia, South Africa, Spain, UK, US, Uruguay, Yugoslavia"
2555,Petitioning the Empty Sky,Converge,US
2556,Phaedra,Tangerine Dream,"Australia, Canada, France, Germany, Italy, New Zealand, South Africa, Spain, UK, US"
2557,Phallus Dei,Amon Düül II,"Germany, UK"
2558,Philosophy of the World,The Shaggs,US
2559,Phoenix: Flames Are Dew Upon My Skin,Eartheater,"Germany, Japan, UK"
2560,Phrenology,The Roots,"Australia, Brazil, Canada, Europe, Israel, Japan, Mexico, South Africa, Thailand, UK, US"
2561,Physical Graffiti,Led Zeppelin,"Argentina, Australia, Belgium, Brazil, Canada, Chile, Colombia, El Salvador, Europe, France, Germany, Greece, Israel, Italy, Japan, Lebanon, Malaysia, Mexico, Mozambique, Netherlands, New Zealand, Philippines, Portugal, South Africa, Spain, Turkey, UK, US, Uruguay, Venezuela, Yugoslavia, Zambia"
2562,Picaresque,The Decemberists,"Australia, Canada, Europe, Spain, US"
2563,Piece of Mind,Iron Maiden,"Australasia, Australia, Brazil, Canada, Chile, Colombia, Europe, France, France, Benelux, Germany, Greece, Guatemala, Iceland, Indonesia, Ireland, Israel, Italy, Japan, Mexico, New Zealand, Poland, Portugal, Saudi Arabia, Singapore, Malaysia, Hong Kong, South Africa, South Korea, Spain, Taiwan, Turkey, UK, US, Venezuela, Yugoslavia"
2564,Piece of Time,Atheist,UK
2565,Pieces of a Man,Gil Scott-Heron,US
2566,Pierced From Within,Suffocation,"Australia, Bulgaria, Canada, Europe, Germany, Indonesia, Japan, Poland, South Korea, Thailand, US, US, Canada"
2567,Pills 'n' Thrills and Bellyaches,Happy Mondays,"Australia, Canada, Czechoslovakia, Europe, France, Greece, Japan, Portugal, UK, US"
2568,Pin Ups,David Bowie,"Australia, Canada, Mozambique, Peru, UK, US"
2569,Pink Flag,Wire,"Greece, Ireland, Portugal, UK, US"
2570,Pink Friday,Nicki Minaj,"Australasia, Australia, Canada, Europe, India, Indonesia, Malaysia, New Zealand, Philippines, South Africa, South Korea, Thailand, UK, US"
2571,Pink Moon,Nick Drake,"Australia, New Zealand, South Africa, Spain, UK, US"
2572,Pink Season,Pink Guy,Worldwide
